"","sim_i","t","out","in"
"964",1,1,1525,284
"965",1,1,1561,284
"966",1,1,1014,285
"967",1,1,1070,285
"968",1,1,1245,285
"969",1,1,1546,285
"970",1,1,917,286
"971",1,1,1591,288
"972",1,1,2382,288
"973",1,1,692,289
"974",1,1,1695,289
"975",1,1,2208,289
"976",1,1,348,290
"977",1,1,866,291
"978",1,1,1141,291
"979",1,1,1242,291
"980",1,1,1301,291
"981",1,1,1366,291
"982",1,1,1559,291
"983",1,1,1686,291
"984",1,1,2040,291
"985",1,1,2437,291
"986",1,1,873,292
"987",1,1,1659,292
"988",1,1,1720,292
"989",1,1,2451,292
"990",1,1,524,293
"991",1,1,1195,293
"992",1,1,1469,293
"993",1,1,1772,293
"994",1,1,2079,293
"995",1,1,2140,293
"996",1,1,1551,294
"997",1,1,2087,294
"998",1,1,2181,294
"999",1,1,2255,294
"1000",1,1,2377,294
"1001",1,1,2483,294
"1002",1,1,438,295
"1003",1,1,611,295
"1004",1,1,1104,295
"1005",1,1,1967,295
"1006",1,1,769,296
"1007",1,1,1329,296
"1008",1,1,1506,296
"1009",1,1,1817,296
"1010",1,1,1857,296
"1011",1,1,2159,296
"1012",1,1,1053,297
"1013",1,1,1471,297
"1014",1,1,1718,297
"1015",1,1,1881,297
"1016",1,1,2432,297
"1017",1,1,302,298
"1018",1,1,893,298
"1019",1,1,1552,298
"1020",1,1,2001,298
"1021",1,1,372,300
"1022",1,1,726,300
"1023",1,1,1245,300
"1024",1,1,1963,300
"1025",1,1,997,301
"1026",1,1,1727,301
"1027",1,1,1803,301
"1028",1,1,1065,302
"1029",1,1,729,303
"1030",1,1,1325,303
"1031",1,1,2354,303
"1032",1,1,882,304
"1033",1,1,1003,304
"1034",1,1,1666,304
"1035",1,1,1293,305
"1036",1,1,979,306
"1037",1,1,1204,306
"1038",1,1,1812,306
"1039",1,1,2435,306
"1040",1,1,827,307
"1041",1,1,2328,307
"1042",1,1,337,308
"1043",1,1,1547,308
"1044",1,1,1769,308
"1045",1,1,463,309
"1046",1,1,1095,309
"1047",1,1,1166,309
"1048",1,1,1289,309
"1049",1,1,1517,309
"1050",1,1,867,310
