"","sim_i","t","out","in"
"1047",1,1,1336,307
"1048",1,1,1812,307
"1049",1,1,2166,307
"1050",1,1,2248,307
"1051",1,1,2414,307
"1052",1,1,2498,307
"1053",1,1,327,308
"1054",1,1,1092,308
"1055",1,1,1370,308
"1056",1,1,2419,308
"1057",1,1,434,309
"1058",1,1,676,309
"1059",1,1,1715,309
"1060",1,1,2383,309
"1061",1,1,2533,309
"1062",1,1,695,310
"1063",1,1,1398,310
"1064",1,1,1996,310
"1065",1,1,1376,311
"1066",1,1,1428,311
"1067",1,1,1546,311
"1068",1,1,1607,311
"1069",1,1,2155,311
"1070",1,1,2718,311
"1071",1,1,342,312
"1072",1,1,1178,312
"1073",1,1,383,313
"1074",1,1,1043,313
"1075",1,1,1207,313
"1076",1,1,1569,313
"1077",1,1,2440,313
"1078",1,1,919,314
"1079",1,1,1391,314
"1080",1,1,1405,314
"1081",1,1,2152,314
"1082",1,1,576,315
"1083",1,1,1647,315
"1084",1,1,513,316
"1085",1,1,950,316
"1086",1,1,1574,316
"1087",1,1,2229,316
"1088",1,1,560,317
"1089",1,1,1606,317
"1090",1,1,2456,317
"1091",1,1,1833,318
"1092",1,1,678,319
"1093",1,1,799,319
"1094",1,1,1562,319
"1095",1,1,2459,319
"1096",1,1,2886,319
"1097",1,1,1439,320
"1098",1,1,1586,320
"1099",1,1,2468,320
"1100",1,1,2969,320
"1101",1,1,557,321
"1102",1,1,1959,321
"1103",1,1,540,322
"1104",1,1,1024,322
"1105",1,1,2017,322
"1106",1,1,2062,322
"1107",1,1,2283,322
"1108",1,1,1228,323
"1109",1,1,1285,323
"1110",1,1,2184,323
"1111",1,1,2348,323
"1112",1,1,1302,324
"1113",1,1,1683,324
"1114",1,1,1096,325
"1115",1,1,1304,325
"1116",1,1,1541,325
"1117",1,1,2273,325
"1118",1,1,2452,325
"1119",1,1,1234,326
"1120",1,1,578,327
"1121",1,1,1765,327
"1122",1,1,2458,327
"1123",1,1,391,328
"1124",1,1,640,328
"1125",1,1,1026,328
"1126",1,1,1036,328
"1127",1,1,2473,328
"1128",1,1,2627,328
"1129",1,1,445,329
"1130",1,1,482,329
"1131",1,1,1472,329
"1132",1,1,1981,329
"1133",1,1,858,330
"1134",1,1,2082,330
"1135",1,1,1386,331
"1136",1,1,2419,331
"1137",1,1,1993,332
"1138",1,1,852,333
"1139",1,1,2364,333
"1140",1,1,1866,334
"1141",1,1,379,335
"1142",1,1,621,335
"1143",1,1,1040,335
"1144",1,1,1254,335
"1145",1,1,1873,335
"1146",1,1,2439,335
"1147",1,1,2484,335
"1148",1,1,2640,335
"1149",1,1,2832,335
"1150",1,1,2896,335
"1151",1,1,557,336
"1152",1,1,1391,336
"1153",1,1,2182,336
"1154",1,1,2341,336
"1155",1,1,1133,337
"1156",1,1,1452,337
"1157",1,1,458,338
"1158",1,1,2683,338
"1159",1,1,1031,339
"1160",1,1,2809,339
"1161",1,1,2947,339
"1162",1,1,682,340
"1163",1,1,1019,340
"1164",1,1,1020,340
"1165",1,1,1025,340
"1166",1,1,1474,340
"1167",1,1,1746,340
"1168",1,1,2199,340
"1169",1,1,2409,341
"1170",1,1,2510,341
"1171",1,1,770,342
"1172",1,1,1424,342
"1173",1,1,2518,342
"1174",1,1,2959,342
