,sim_i,t,source,target
28222,1,19,2865,567
28223,1,19,2819,568
28224,1,19,1933,569
28225,1,19,2769,569
28226,1,19,1125,570
28227,1,19,1875,571
28228,1,19,1993,572
28229,1,19,2897,573
28230,1,19,661,574
28231,1,19,1191,574
28232,1,19,1231,575
28233,1,19,2463,576
28234,1,19,1373,577
28235,1,19,1565,578
28236,1,19,1906,578
28237,1,19,1354,582
28238,1,19,1897,582
28239,1,19,776,583
28240,1,19,1099,584
28241,1,19,1431,585
28242,1,19,937,587
28243,1,19,1400,587
28244,1,19,775,589
28245,1,19,2950,591
28246,1,19,1491,592
28247,1,19,2209,594
28248,1,19,2345,596
28249,1,19,2489,596
28250,1,19,1093,598
28251,1,19,2239,598
28252,1,19,2401,603
28253,1,19,2054,607
28254,1,19,1649,608
28255,1,19,2793,609
28256,1,19,1114,611
28257,1,19,1396,611
28258,1,19,2511,611
28259,1,19,2624,612
28260,1,19,2534,614
28261,1,19,1556,619
28262,1,19,1031,620
28263,1,19,1408,620
28264,1,19,2093,620
28265,1,19,997,621
28266,1,19,668,623
28267,1,19,957,623
28268,1,19,1992,625
28269,1,19,1171,628
28270,1,19,1985,628
28271,1,19,2554,628
28272,1,19,2817,628
28273,1,19,1220,629
28274,1,19,2807,629
28275,1,19,852,630
28276,1,19,874,630
28277,1,19,1950,631
28278,1,19,2683,633
28279,1,19,877,634
28280,1,19,1977,635
28281,1,19,2749,635
28282,1,19,2946,636
28283,1,19,2953,639
28284,1,19,1375,640
28285,1,19,1024,641
28286,1,19,2651,641
28287,1,19,1139,642
28288,1,19,1415,642
28289,1,19,2530,642
28290,1,19,1744,643
28291,1,19,2538,643
28292,1,19,2118,645
28293,1,19,2286,645
28294,1,19,2505,645
28295,1,19,647,646
28296,1,19,959,646
28297,1,19,2678,646
28298,1,19,2349,647
28299,1,19,1888,649
28300,1,19,1543,650
28301,1,19,2003,652
28302,1,19,811,653
28303,1,19,1442,655
28304,1,19,1467,658
28305,1,19,1658,658
28306,1,19,2475,658
28307,1,19,783,659
28308,1,19,1114,659
